Year,Année,ISO,Jurisdiction,Juridiction,Category,Catégorie,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1941,1941,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2095000,a,2095000,a
1941,1941,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1954000,a,1954000,a
1941,1941,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,248000,a,248000,a
1941,1941,NS,Nova Scotia,Nouvelle-Écosse,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2349000,a,2349000,a
1941,1941,NS,Nova Scotia,Nouvelle-Écosse,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,553000,a,553000,a
1941,1941,NS,Nova Scotia,Nouvelle-Écosse,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,208000,a,208000,a
1941,1941,NS,Nova Scotia,Nouvelle-Écosse,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,820000,a,820000,a
1941,1941,ON,Ontario,Ontario,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,3616000,a,3616000,a
1941,1941,ON,Ontario,Ontario,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,4732000,a,4732000,a
1941,1941,ON,Ontario,Ontario,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,363000,a,363000,a
1941,1941,ON,Ontario,Ontario,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,4607000,a,4607000,a
1941,1941,PE,Prince Edward Island,Île-du-Prince-Édouard,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,33000,a,33000,a
1941,1941,PE,Prince Edward Island,Île-du-Prince-Édouard,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,2000,a,2000,a
1941,1941,PE,Prince Edward Island,Île-du-Prince-Édouard,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,11000,a,11000,a
1941,1941,PE,Prince Edward Island,Île-du-Prince-Édouard,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,282000,a,282000,a
1941,1941,QC,Quebec,Québec,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,6666000,a,6666000,a
1941,1941,QC,Quebec,Québec,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,10857000,a,10857000,a
1941,1941,QC,Quebec,Québec,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,307000,a,307000,a
1941,1941,QC,Quebec,Québec,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,8116000,a,8116000,a
1941,1941,SK,Saskatchewan,Saskatchewan,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1051000,a,1051000,a
1941,1941,SK,Saskatchewan,Saskatchewan,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,14000,a,14000,a
1941,1941,SK,Saskatchewan,Saskatchewan,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,160000,a,160000,a
1941,1941,SK,Saskatchewan,Saskatchewan,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1914000,a,1914000,a
1941,1941,YT,Yukon,Yukon,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,3000,a,3000,a
1941,1941,YT,Yukon,Yukon,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1941,1941,YT,Yukon,Yukon,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1941,1941,YT,Yukon,Yukon,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,61000,a,61000,a
1942,1942,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1766000,a,1766000,a
1942,1942,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,207000,a,207000,a
1942,1942,AB,Alberta,Alberta,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1570000,a,1570000,a
1942,1942,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,13360000,a,13360000,a
1942,1942,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1979000,a,1979000,a
1942,1942,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,428000,a,428000,a
1942,1942,BC,British Columbia,Colombie-Britannique,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,645000,a,645000,a
1942,1942,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,426000,a,426000,a
1942,1942,MB,Manitoba,Manitoba,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,202000,a,202000,a
1942,1942,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,36000,a,36000,a
1942,1942,MB,Manitoba,Manitoba,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1440000,a,1440000,a
1942,1942,NB,New Brunswick,Nouveau-Brunswick,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,983000,a,983000,a
1942,1942,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2187000,a,2187000,a
1942,1942,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,2216000,a,2216000,a
1942,1942,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,64000,a,64000,a
1942,1942,NS,Nova Scotia,Nouvelle-Écosse,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1923000,a,1923000,a
1942,1942,NS,Nova Scotia,Nouvelle-Écosse,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,372000,a,372000,a
1942,1942,NS,Nova Scotia,Nouvelle-Écosse,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,129000,a,129000,a
1942,1942,NS,Nova Scotia,Nouvelle-Écosse,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,845000,a,845000,a
1942,1942,ON,Ontario,Ontario,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,3727000,a,3727000,a
1942,1942,ON,Ontario,Ontario,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,5148000,a,5148000,a
1942,1942,ON,Ontario,Ontario,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,297000,a,297000,a
1942,1942,ON,Ontario,Ontario,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,4774000,a,4774000,a
1942,1942,PE,Prince Edward Island,Île-du-Prince-Édouard,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,40000,a,40000,a
1942,1942,PE,Prince Edward Island,Île-du-Prince-Édouard,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,10000,a,10000,a
1942,1942,PE,Prince Edward Island,Île-du-Prince-Édouard,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,285000,a,285000,a
1942,1942,QC,Quebec,Québec,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,6431000,a,6431000,a
1942,1942,QC,Quebec,Québec,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,11054000,a,11054000,a
1942,1942,QC,Quebec,Québec,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,367000,a,367000,a
1942,1942,QC,Quebec,Québec,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,8327000,a,8327000,a
1942,1942,SK,Saskatchewan,Saskatchewan,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,909000,a,909000,a
1942,1942,SK,Saskatchewan,Saskatchewan,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,25000,a,25000,a
1942,1942,SK,Saskatchewan,Saskatchewan,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,114000,a,114000,a
1942,1942,SK,Saskatchewan,Saskatchewan,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1975000,a,1975000,a
1942,1942,YT,Yukon,Yukon,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,12000,a,12000,a
1942,1942,YT,Yukon,Yukon,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1942,1942,YT,Yukon,Yukon,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1942,1942,YT,Yukon,Yukon,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,67000,a,67000,a
1943,1943,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1382000,a,1382000,a
1943,1943,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,203000,a,203000,a
1943,1943,AB,Alberta,Alberta,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1502000,a,1502000,a
1943,1943,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,12624000,a,12624000,a
1943,1943,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1829000,a,1829000,a
1943,1943,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,405000,a,405000,a
1943,1943,BC,British Columbia,Colombie-Britannique,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1064000,a,1064000,a
1943,1943,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,386000,a,386000,a
1943,1943,MB,Manitoba,Manitoba,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,300000,a,300000,a
1943,1943,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,40000,a,40000,a
1943,1943,MB,Manitoba,Manitoba,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1316000,a,1316000,a
1943,1943,NB,New Brunswick,Nouveau-Brunswick,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,957000,a,957000,a
1943,1943,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1927000,a,1927000,a
1943,1943,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,2351000,a,2351000,a
1943,1943,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,65000,a,65000,a
1943,1943,NS,Nova Scotia,Nouvelle-Écosse,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1686000,a,1686000,a
1943,1943,NS,Nova Scotia,Nouvelle-Écosse,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,461000,a,461000,a
1943,1943,NS,Nova Scotia,Nouvelle-Écosse,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,92000,a,92000,a
1943,1943,NS,Nova Scotia,Nouvelle-Écosse,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,801000,a,801000,a
1943,1943,ON,Ontario,Ontario,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,3318000,a,3318000,a
1943,1943,ON,Ontario,Ontario,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,5390000,a,5390000,a
1943,1943,ON,Ontario,Ontario,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,277000,a,277000,a
1943,1943,ON,Ontario,Ontario,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,4497000,a,4497000,a
1943,1943,PE,Prince Edward Island,Île-du-Prince-Édouard,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,41000,a,41000,a
1943,1943,PE,Prince Edward Island,Île-du-Prince-Édouard,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,10000,a,10000,a
1943,1943,PE,Prince Edward Island,Île-du-Prince-Édouard,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,276000,a,276000,a
1943,1943,QC,Quebec,Québec,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,6508000,a,6508000,a
1943,1943,QC,Quebec,Québec,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,11171000,a,11171000,a
1943,1943,QC,Quebec,Québec,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,361000,a,361000,a
1943,1943,QC,Quebec,Québec,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,8029000,a,8029000,a
1943,1943,SK,Saskatchewan,Saskatchewan,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1122000,a,1122000,a
1943,1943,SK,Saskatchewan,Saskatchewan,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,130000,a,130000,a
1943,1943,SK,Saskatchewan,Saskatchewan,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,117000,a,117000,a
1943,1943,SK,Saskatchewan,Saskatchewan,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1861000,a,1861000,a
1943,1943,YT,Yukon,Yukon,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,119000,a,119000,a
1943,1943,YT,Yukon,Yukon,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,11000,a,11000,a
1943,1943,YT,Yukon,Yukon,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1943,1943,YT,Yukon,Yukon,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,183000,a,183000,a
1944,1944,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2192000,a,2192000,a
1944,1944,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,222000,a,222000,a
1944,1944,AB,Alberta,Alberta,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1423000,a,1423000,a
1944,1944,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,12848000,a,12848000,a
1944,1944,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,2026000,a,2026000,a
1944,1944,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,467000,a,467000,a
1944,1944,BC,British Columbia,Colombie-Britannique,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,770000,a,770000,a
1944,1944,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,384000,a,384000,a
1944,1944,MB,Manitoba,Manitoba,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,194000,a,194000,a
1944,1944,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,58000,a,58000,a
1944,1944,MB,Manitoba,Manitoba,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1377000,a,1377000,a
1944,1944,NB,New Brunswick,Nouveau-Brunswick,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,936000,a,936000,a
1944,1944,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1899000,a,1899000,a
1944,1944,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,2585000,a,2585000,a
