Year,Année,ISO,Jurisdiction,Juridiction,Treatment,Traitement,Tenure (En),Tenure (Fr),Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1976,1976,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,3089,a,3089,a
1976,1976,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1977,1977,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1977,1977,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,15542,a,15542,a
1977,1977,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,6,a,6,a
1977,1977,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,2,a,2,a
1977,1977,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,48169,a,48169,a
1977,1977,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,4080,a,4080,a
1977,1977,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,13900,a,13900,a
1977,1977,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,28,a,28,a
1977,1977,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,850,a,850,a
1977,1977,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1977,1977,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,850,a,850,a
1977,1977,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1977,1977,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,7555,a,7555,a
1977,1977,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,4665,a,4665,a
1977,1977,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1978,1978,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,17049,a,17049,a
1978,1978,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,51,a,51,a
1978,1978,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1978,1978,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,51408,a,51408,a
1978,1978,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,4443,a,4443,a
1978,1978,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,16000,a,16000,a
1978,1978,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,320,a,320,a
1978,1978,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,2608,a,2608,a
1978,1978,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1978,1978,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,2608,a,2608,a
1978,1978,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,16,a,16,a
1978,1978,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,9539,a,9539,a
1978,1978,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,5973,a,5973,a
1978,1978,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1979,1979,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,18256,a,18256,a
1979,1979,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,331,a,331,a
1979,1979,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,10,a,10,a
1979,1979,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,67295,a,67295,a
1979,1979,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,4356,a,4356,a
1979,1979,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,18500,a,18500,a
1979,1979,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1508,a,1508,a
1979,1979,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,2255,a,2255,a
1979,1979,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1979,1979,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,2255,a,2255,a
1979,1979,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,566,a,566,a
1979,1979,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,14769,a,14769,a
1979,1979,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,6815,a,6815,a
1979,1979,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,224,a,224,a
1980,1980,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,16966,a,16966,a
1980,1980,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,206,a,206,a
1980,1980,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1980,1980,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,65194,a,65194,a
1980,1980,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,3836,r,3836,r
1980,1980,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,24926,a,24926,a
1980,1980,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,379,a,379,a
1980,1980,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,8010,a,8010,a
1980,1980,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1980,1980,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,8010,a,8010,a
1980,1980,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,669,r,669,r
1980,1980,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,13903,a,13903,a
1980,1980,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,7633,a,7633,a
1980,1980,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1981,1981,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,16367,a,16367,a
1981,1981,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,79,a,79,a
1981,1981,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1981,1981,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,54893,a,54893,a
1981,1981,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,5561,r,5561,r
1981,1981,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,27384,a,27384,a
1981,1981,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1317,a,1317,a
1981,1981,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,8845,a,8845,a
1981,1981,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1981,1981,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,8845,a,8845,a
1981,1981,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,400,r,400,r
1981,1981,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,16152,a,16152,a
1981,1981,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,8634,a,8634,a
1981,1981,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1982,1982,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,22303,a,22303,a
1982,1982,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,150,a,150,a
1982,1982,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1982,1982,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,62631,a,62631,a
1982,1982,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,5009,r,5009,r
1982,1982,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,18601,a,18601,a
1982,1982,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1856,a,1856,a
1982,1982,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,7410,a,7410,a
1982,1982,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1982,1982,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,7410,a,7410,a
1982,1982,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,364,r,364,r
1982,1982,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,14800,a,14800,a
1982,1982,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,11141,a,11141,a
1982,1982,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1983,1983,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1983,1983,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,29876,a,29876,a
1983,1983,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,196,a,196,a
1983,1983,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,90,a,90,a
1983,1983,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,73439,a,73439,a
1983,1983,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,4338,a,4338,a
1983,1983,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,11132,a,11132,a
1983,1983,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1848,a,1848,a
1983,1983,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,6263,a,6263,a
1983,1983,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1983,1983,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,6263,a,6263,a
1983,1983,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,375,r,375,r
1983,1983,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,21940,a,21940,a
1983,1983,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,6901,a,6901,a
1983,1983,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1984,1984,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1984,1984,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,22669,a,22669,a
1984,1984,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,983,a,983,a
1984,1984,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1984,1984,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,84413,a,84413,a
1984,1984,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,5990,r,5990,r
1984,1984,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,8862,a,8862,a
1984,1984,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,3769,a,3769,a
1984,1984,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,7984,a,7984,a
1984,1984,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1984,1984,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,7984,a,7984,a
1984,1984,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,650,r,650,r
1984,1984,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,29902,a,29902,a
1984,1984,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,6831,a,6831,a
1984,1984,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1985,1985,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,18,a,18,a
1985,1985,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,21600,a,21600,a
1985,1985,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,686,a,686,a
1985,1985,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1985,1985,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,91421,a,91421,a
1985,1985,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,6681,r,6681,r
1985,1985,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,9293,a,9293,a
1985,1985,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,3446,a,3446,a
1985,1985,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,12025,a,12025,a
1985,1985,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1985,1985,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,12025,a,12025,a
1985,1985,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,1021,r,1021,r
1985,1985,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,50906,a,50906,a
1985,1985,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,7481,a,7481,a
1985,1985,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1986,1986,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1986,1986,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,22456,a,22456,a
1986,1986,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,249,a,249,a
1986,1986,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1986,1986,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,133709,a,133709,a
1986,1986,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,8157,r,8157,r
1986,1986,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,12981,a,12981,a
1986,1986,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,1831,a,1831,a
1986,1986,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,16583,a,16583,a
1986,1986,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1986,1986,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,16583,a,16583,a
1986,1986,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,943,r,943,r
1986,1986,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,91818,a,91818,a
1986,1986,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,5786,a,5786,a
1986,1986,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1987,1987,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,17,a,17,a
1987,1987,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,24990,a,24990,a
1987,1987,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,4,a,4,a
1987,1987,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,86,a,86,a
1987,1987,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,177024,a,177024,a
1987,1987,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,7717,r,7717,r
1987,1987,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,16778,a,16778,a
1987,1987,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,3726,a,3726,a
1987,1987,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,16291,a,16291,a
1987,1987,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1987,1987,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,16291,a,16291,a
1987,1987,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,1080,r,1080,r
1987,1987,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,112447,a,112447,a
1987,1987,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,8721,a,8721,a
1987,1987,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1988,1988,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1988,1988,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,32872,a,32872,a
1988,1988,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,158,a,158,a
1988,1988,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,1,a,1,a
1988,1988,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,151546,a,151546,a
1988,1988,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,8078,a,8078,a
1988,1988,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,15318,a,15318,a
1988,1988,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,4000,a,4000,a
1988,1988,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,15451,a,15451,a
1988,1988,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1988,1988,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,15451,a,15451,a
1988,1988,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,826,r,826,r
1988,1988,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,99559,a,99559,a
1988,1988,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,8301,a,8301,a
1988,1988,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1989,1989,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1989,1989,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,32997,a,32997,a
1989,1989,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,454,a,454,a
1989,1989,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,174,a,174,a
1989,1989,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,171300,a,171300,a
1989,1989,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,7263,r,7263,r
1989,1989,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,16563,a,16563,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,3859,a,3859,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,11129,a,11129,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1989,1989,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,11129,a,11129,a
1989,1989,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,1032,r,1032,r
1989,1989,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,117259,a,117259,a
1989,1989,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,8524,a,8524,a
1989,1989,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1990,1990,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,2400,a,2400,a
1990,1990,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1990,1990,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
